"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"Basic","Basic","","Z-resource
Extension-resourceCustom-resource","",0,*,"","","","null {[]} {[]}
","Resource for non-supported content","Basic is used for handling concepts not yet defined in FHIR, narrative-only resources that don't map to an existing resource, and custom resources not appropriate for inclusion in the FHIR specification.","","","","","","","","","",,,,,"",,,,"Basic",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","Entity. Role, or Act","Act, Entity or Role"
"Basic.extension:groupIdentifier","Basic.extension","groupIdentifier","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.groupIdentifier|0.1.0]]} {[]}
","R5: Requisition or grouper id (new)","R5: `Transport.groupIdentifier` (new:Identifier)","Element `Transport.groupIdentifier` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.groupIdentifier` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:partOf","Basic.extension","partOf","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.partOf|0.1.0]]} {[]}
","R5: Part of referenced event (new)","R5: `Transport.partOf` (new:Reference(Transport))","Element `Transport.partOf` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.partOf` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Not to be used to link an event to an Encounter - use Event.context for that.[The allowed reference resources may be adjusted as appropriate for the event resource].","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:statusReason","Basic.extension","statusReason","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.statusReason|0.1.0]]} {[]}
","R5: Reason for current status (new)","R5: `Transport.statusReason` (new:CodeableConcept)","Element `Transport.statusReason` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.statusReason` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This applies to the current status.  Look at the history of the transport to see reasons for past statuses.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:intent","Basic.extension","intent","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.intent|0.1.0]]} {[]}
","R5: unknown | proposal | plan | order | original-order | reflex-order | filler-order | instance-order | option (new)","R5: `Transport.intent` (new:code)","Element `Transport.intent` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.intent` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This element is immutable.  Proposed transports, planned transports, etc. must be distinct instances.

In most cases, Transports will have an intent of ""order"".","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:priority","Basic.extension","priority","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.priority|0.1.0]]} {[]}
","R5: routine | urgent | asap | stat (new)","R5: `Transport.priority` (new:code)","Element `Transport.priority` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.priority` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:code","Basic.extension","code","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.code|0.1.0]]} {[]}
","R5: Transport Type (new)","R5: `Transport.code` (new:CodeableConcept)","Element `Transport.code` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.code` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The title (eg ""My Transports"", ""Outstanding Transports for Patient X"") should go into the code.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:description","Basic.extension","description","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.description|0.1.0]]} {[]}
","R5: Human-readable explanation of transport (new)","R5: `Transport.description` (new:string)","Element `Transport.description` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.description` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:focus","Basic.extension","focus","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.focus|0.1.0]]} {[]}
","R5: What transport is acting on (new)","R5: `Transport.focus` (new:Reference(Resource))","Element `Transport.focus` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.focus` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
If multiple resources need to be manipulated, use sub-transports.  (This ensures that status can be tracked independently for each referenced resource.).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:for","Basic.extension","for","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.for|0.1.0]]} {[]}
","R5: Beneficiary of the Transport (new)","R5: `Transport.for` (new:Reference(Resource))","Element `Transport.for` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.for` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:encounter","Basic.extension","encounter","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.encounter|0.1.0]]} {[]}
","R5: Healthcare event during which this transport originated (new)","R5: `Transport.encounter` (new:Reference(Encounter))","Element `Transport.encounter` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.encounter` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:completionTime","Basic.extension","completionTime","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.completionTime|0.1.0]]} {[]}
","R5: Completion time of the event (the occurrence) (new)","R5: `Transport.completionTime` (new:dateTime)","Element `Transport.completionTime` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.completionTime` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:authoredOn","Basic.extension","authoredOn","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.authoredOn|0.1.0]]} {[]}
","R5: Transport Creation Date (new)","R5: `Transport.authoredOn` (new:dateTime)","Element `Transport.authoredOn` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.authoredOn` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:lastModified","Basic.extension","lastModified","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.lastModified|0.1.0]]} {[]}
","R5: Transport Last Modified Date (new)","R5: `Transport.lastModified` (new:dateTime)","Element `Transport.lastModified` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.lastModified` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:requester","Basic.extension","requester","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.requester|0.1.0]]} {[]}
","R5: Who is asking for transport to be done (new)","R5: `Transport.requester` (new:Reference(Device,Organization,Patient,Practitioner,PractitionerRole,RelatedPerson))","Element `Transport.requester` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.requester` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:performerType","Basic.extension","performerType","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.performerType|0.1.0]]} {[]}
","R5: Requested performer (new)","R5: `Transport.performerType` (new:CodeableConcept)","Element `Transport.performerType` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.performerType` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:owner","Basic.extension","owner","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.owner|0.1.0]]} {[]}
","R5: Responsible individual (new)","R5: `Transport.owner` (new:Reference(Practitioner,PractitionerRole,Organization,CareTeam,HealthcareService,Patient,Device,RelatedPerson))","Element `Transport.owner` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.owner` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Transports may be created with an owner not yet identified.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:location","Basic.extension","location","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.location|0.1.0]]} {[]}
","R5: Where transport occurs (new)","R5: `Transport.location` (new:Reference(Location))","Element `Transport.location` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.location` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:insurance","Basic.extension","insurance","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.insurance|0.1.0]]} {[]}
","R5: Associated insurance coverage (new)","R5: `Transport.insurance` (new:Reference(Coverage,ClaimResponse))","Element `Transport.insurance` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.insurance` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:note","Basic.extension","note","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.note|0.1.0]]} {[]}
","R5: Comments made about the transport (new)","R5: `Transport.note` (new:Annotation)","Element `Transport.note` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.note` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:relevantHistory","Basic.extension","relevantHistory","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.relevantHistory|0.1.0]]} {[]}
","R5: Key events in history of the Transport (new)","R5: `Transport.relevantHistory` (new:Reference(Provenance))","Element `Transport.relevantHistory` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.relevantHistory` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This element does not point to the Provenance associated with the *current* version of the resource - as it would be created after this version existed.  The Provenance for the current version can be retrieved with a _revinclude.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:restriction","Basic.extension","restriction","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.restriction|0.1.0]]} {[]}
","R5: Constraints on fulfillment transports (new)","R5: `Transport.restriction` (new:BackboneElement)","Element `Transport.restriction` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.restriction` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:input","Basic.extension","input","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.input|0.1.0]]} {[]}
","R5: Information used to perform transport (new)","R5: `Transport.input` (new:BackboneElement)","Element `Transport.input` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.input` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:output","Basic.extension","output","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.output|0.1.0]]} {[]}
","R5: Information produced as part of transport (new)","R5: `Transport.output` (new:BackboneElement)","Element `Transport.output` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.output` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:requestedLocation","Basic.extension","requestedLocation","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.requestedLocation|0.1.0]]} {[]}
","R5: The desired location (new)","R5: `Transport.requestedLocation` (new:Reference(Location))","Element `Transport.requestedLocation` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.requestedLocation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:currentLocation","Basic.extension","currentLocation","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.currentLocation|0.1.0]]} {[]}
","R5: The entity current location (new)","R5: `Transport.currentLocation` (new:Reference(Location))","Element `Transport.currentLocation` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.currentLocation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:reason","Basic.extension","reason","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.reason|0.1.0]]} {[]}
","R5: Why transport is needed (new)","R5: `Transport.reason` (new:CodeableReference(Resource))","Element `Transport.reason` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.reason` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Transports might be justified based on an Observation, a Condition, a past or planned procedure, etc. This should only be included if there is no focus or if it differs from the reason indicated on the focus.    Use the CodeableConcept text element in `Transport.reasonCode` if the data is free (uncoded) text.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:history","Basic.extension","history","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Transport.history|0.1.0]]} {[]}
","R5: Parent (or preceding) transport (new)","R5: `Transport.history` (new:Reference(Transport))","Element `Transport.history` is not mapped to FHIR R4, since FHIR R5 `Transport` is not mapped.
Element `Transport.history` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
